sourceid,dstid,Time Period,AM Peak Hours (in seconds),PM Peak Hours (in seconds),Flow-Flow Hours (in seconds),Travel Time Index (Peak/Free Flow)
265,182,2016Q1,4000.6,,1327.56,3.013498448
265,182,2016Q2,4178.93,,,#DIV/0!
265,182,2016Q3,5068.325,,1638.99,3.092346506
265,182,2016Q4,4112.795,,1590.94,2.585135203
265,182,2017Q1,4493.98,,1533.92,2.929735579
265,182,2017Q2,4366.065,,1442.49,3.026755818
265,182,2017Q3,5181.61,,1697.893333,3.051787706
265,182,2017Q4,4721.58,,1550.8475,3.044515982
265,182,2018Q1,4620.145,,1649.0325,2.801730712
265,182,2018Q2,4652.2,,1738.0925,2.676612436
265,182,2018Q3,5254.755,,1748.91,3.004588572
265,182,2018Q4,3931.695,,1575.845,2.494975711
403,182,2016Q1,2895.76,,1558.75,1.857744988
403,182,2016Q2,2915.68,,1831.85,1.591658706
403,182,2016Q3,3385.855,,1673.173333,2.023612816
403,182,2016Q4,2984.39,,1520.845,1.962323577
403,182,2017Q1,3080.285,,1462.35,2.106393818
403,182,2017Q2,3108.97,,1563.5425,1.98841413
403,182,2017Q3,3267.645,,1476.53,2.213056965
403,182,2017Q4,3189.035,,1476.56,2.159773392
403,182,2018Q1,3389.395,,1616.9275,2.096194789
403,182,2018Q2,3344.76,,1422.42,2.351457375
403,182,2018Q3,3715.815,,1780.575,2.08686239
403,182,2018Q4,3100.88,,1578.6125,1.964307263
577,182,2016Q1,2357.77,,2398.205,0.983139473
577,182,2016Q2,2540.63,,1929.89,1.316463633
577,182,2016Q3,2681.375,,1677.016667,1.598895857
577,182,2016Q4,2352.29,,1772.34,1.327222768
577,182,2017Q1,2405.72,,1743.083333,1.380152029
577,182,2017Q2,2468.31,,1880.6675,1.312464856
577,182,2017Q3,2568.91,,1629.706667,1.576302075
577,182,2017Q4,2516.475,,1629.88,1.543963359
577,182,2018Q1,2518.665,,1835.5375,1.372167553
577,182,2018Q2,2587.13,,1714.1075,1.509316073
577,182,2018Q3,2650.495,,1703.4475,1.555959312
577,182,2018Q4,2508.145,,1732.13,1.448011985
598,182,2016Q1,2206.885,,,#DIV/0!
598,182,2016Q2,2239.655,,,#DIV/0!
598,182,2016Q3,2327.885,,,#DIV/0!
598,182,2016Q4,2005.21,,,#DIV/0!
598,182,2017Q1,2160.18,,,#DIV/0!
598,182,2017Q2,2047.93,,,#DIV/0!
598,182,2017Q3,2490.155,,1261.5,1.973963535
598,182,2017Q4,2432.04,,,#DIV/0!
598,182,2018Q1,2390.67,,,#DIV/0!
598,182,2018Q2,2633.565,,1037.22,2.539061144
598,182,2018Q3,2757.08,,,#DIV/0!
598,182,2018Q4,2518.22,,769.29,3.273433946
182,265,2016Q1,,5303.9,1692.425,3.133905491
182,265,2016Q2,,5894.02,1686.2,3.49544538
182,265,2016Q3,,7055.355,1710.853333,4.123880676
182,265,2016Q4,,6038.29,1707.65,3.53602319
182,265,2017Q1,,5647.245,1610.2975,3.506957565
182,265,2017Q2,,6820.565,1790.8725,3.808515123
182,265,2017Q3,,7260.99,1894.065,3.833548479
182,265,2017Q4,,6964.29,1817.745,3.831279965
182,265,2018Q1,,6481.385,1886.45,3.43575764
182,265,2018Q2,,6538.74,1904.13,3.433977722
182,265,2018Q3,,6555.12,1962.7775,3.339716295
182,265,2018Q4,,5646.905,1962.385,2.877572444
182,403,2016Q1,,4163.405,1695.89,2.454997081
182,403,2016Q2,,4358.605,1514,2.878867239
182,403,2016Q3,,4881.86,2415.75,2.020846528
182,403,2016Q4,,4252.59,1561.52,2.723365695
182,403,2017Q1,,4223.33,1415.71,2.983188647
182,403,2017Q2,,4300.13,1609.82,2.671186841
182,403,2017Q3,,4557.67,1722.845,2.64543241
182,403,2017Q4,,4479.96,1448.616667,3.092577977
182,403,2018Q1,,4109.965,1804.75,2.277304336
182,403,2018Q2,,3843.005,1612.63,2.383066792
182,403,2018Q3,,4272.07,1520.62,2.809426418
182,403,2018Q4,,3788.125,1567.63,2.416466258
182,577,2016Q1,,3504.92,1768.093333,1.982316167
182,577,2016Q2,,3599.335,1767.07,2.036894407
182,577,2016Q3,,3684.35,2117.975,1.739562554
182,577,2016Q4,,3797.16,1697.42,2.237018534
182,577,2017Q1,,3685.2,1826.5,2.017629346
182,577,2017Q2,,3528.075,1800.98,1.958975114
182,577,2017Q3,,3694.67,1504.995,2.454938388
182,577,2017Q4,,3704.075,1779.67,2.081326875
182,577,2018Q1,,3584.17,1958.356667,1.830192662
182,577,2018Q2,,3533.985,1972.12,1.791972598
182,577,2018Q3,,3746.425,1776.76,2.10857122
182,577,2018Q4,,3914.75,1858.153333,2.106795995
182,598,2016Q1,,1820.47,584.0466667,3.116994076
182,598,2016Q2,,2185.915,709.6,3.080489008
182,598,2016Q3,,2203.25,751.25,2.932778702
182,598,2016Q4,,1808.675,593.025,3.049913579
182,598,2017Q1,,1884.17,613.4125,3.071619832
182,598,2017Q2,,1658.92,637.8625,2.600748594
182,598,2017Q3,,2165.34,598.3275,3.618987929
182,598,2017Q4,,1977.7,587.965,3.363635591
182,598,2018Q1,,1919.99,599.6925,3.201624166
182,598,2018Q2,,1939.83,589.855,3.288655687
182,598,2018Q3,,2419.69,657.4875,3.680206848
182,598,2018Q4,,2014.055,590.51,3.410704306