Number,Source (Origin),Destination,CBD<->Residential,Distance with Segments,Route Distance,Difference,Falls in ,Segment Distance,TAZs,Sourceid,lat_o,lng_o,lat_1,lng_1,TAZ_1_id,Area of TAZ1,Distance,lat_2,lng_2,TAZ_2_id,Area of TAZ2,Distance,lat_3,lng_3,TAZ_3_id,Area of TAZ3,Distance,lat_4,lng_4,TAZ_4_id,Area of TAZ4,Distance,lat_5,lng_5,TAZ_5_id,Area of TAZ5,Distance,dstid,Area of dstid,lat_d,lng_d,Distance
1,Borivali,BKC,AM,25.4,22.52,2.88,Q3- Divide by 4,6.35,3,265,19.2205771,72.862368,19.17422,72.85948,290,Kandivali East,4.1,19.12729,72.85542,73,Jogeshwari East,10.1,19.08035,72.84698,629,Santacruz East,6.7,,,,,,,,,,,182,Bandra Kurla Complex,19.0605751,72.8626837,4.5
2,Borivali,Andheri East,AM,16.2,13.85,2.35,Q2- Divide by 3,5.4,2,265,19.2205771,72.862368,19.17422,72.85948,136,Goregaon West,7.8,19.14108,72.85489,128,Goregaon East,3.7,,,,,,,,,,,,,,,,357,Andheri East,19.1155649,72.8608375,4.7
3,Andheri West,Andheri East,AM,6.3,5.38,0.92,Q1- Divide by 2,3.15,1,403,19.1339977,72.8339749,19.12423,72.8481,159,Andheri East,3.7,,,,,,,,,,,,,,,,,,,,,357,Andheri East,19.1155649,72.8608375,2.6
4,Marine Drive,Andheri East,AM,30.8,26.37,4.43,Q4- Divide by 5,6.16,4,577,18.9347773,72.8217133,18.97043,72.8095,668,Breach Candy,5.5,19.0142,72.81263,191,Koliwada,6.4,19.04991,72.83294,689,Bandra Reclamation,4.9,19.0896,72.84352,123,Santacruz West,7.7,,,,,,357,Andheri East,19.1155649,72.8608375,6.3
5,Borivali,Malad,AM,6.6,5.13,1.47,Q1- Divide by 2,3.3,1,265,19.2205771,72.862368,19.20121,72.86145,19,Kandivali East,2.1,,,,,,,,,,,,,,,,,,,,,350,Malad East,19.1852403,72.8577155,4.5
6,Borivali,Nariman Point,AM,40.7,38.58,2.12,Divide by 6,6.78,5,265,19.2205771,72.862368,19.17422,72.85948,350,Malad East,4.9,19.10768,72.8535,422,Jogeshwari East,5.6,19.05474,72.84649,387,Mahim,12.7,19.01696,72.81234,191,Koliwada,3.4,18.97643,72.80907,668,Breach Candy,7.5,382,Nariman Point,18.9279097,72.8217757,6.6
7,Marine Drive,Nariman Point,AM,1.4,1.37,0.03,No division,1.4,0,577,18.9347773,72.8217133,,,,,,,,,,,,,,,,,,,,,,,,,,382,Nariman Point,18.9279097,72.8217757,1.4
8,Marine Drive,Lower Parel,AM,11.9,11.09,0.81,Q1- Divide by 2,5.95,1,577,18.9347773,72.8217133,18.97612,72.80892,668,Breach Candy,5.5,,,,,,,,,,,,,,,,,,,,,239,Lower Parel,18.9991801,72.8289638,6.4
9,Andheri West,BKC,AM,15.9,13.76,2.14,Q2- Divide by 3,5.3,2,403,19.1339977,72.8339749,19.12409,72.85651,159,Andheri East,3.7,19.08511,72.84581,245,Santacruz East,7.8,,,,,,,,,,,,,,,,182,Bandra Kurla Complex,19.0605751,72.8626837,4.4
10,Marine Drive,BKC,AM,20.3,19.68,0.62,Q3- Divide by 4,5.08,3,577,18.9347773,72.8217133,18.97057,72.80959,668,Breach Candy,5.5,19.00124,72.81161,625,Worli,4.5,19.04123,72.82011,387,Mahim,5.4,,,,,,,,,,,182,Bandra Kurla Complex,19.0605751,72.8626837,4.9
11,Chembur,BKC,AM,12,9.06,2.94,Q1- Divide by 2,6,1,598,19.0443516,72.8919425,19.04679,72.86286,611,Sion,5.3,,,,,,,,,,,,,,,,,,,,,182,Bandra Kurla Complex,19.0605751,72.8626837,6.7
12,Chembur,Andheri East,AM,17.9,14.86,3.04,Q2- Divide by 3,5.97,2,598,19.0443516,72.8919425,19.05052,72.86535,610,Sion,4.4,19.08035,72.84698,245,Santacruz East,7.4,,,,,,,,,,,,,,,,357,Andheri East,19.1155649,72.8608375,6.1
13,Andheri West,Malad,AM,10.9,7.95,2.95,Q1- Divide by 2,5.45,1,403,19.1339977,72.8339749,19.15318,72.85675,434,Goregaon East,4.4,,,,,,,,,,,,,,,,,,,,,350,Malad East,19.1852403,72.8577155,6.5
14,Marine Drive,Malad,AM,34.6,32.79,1.81,Q4- Divide by 5,6.92,4,577,18.9347773,72.8217133,18.98363,72.81514,665,Worli,7.6,19.04027,72.81893,387,Mahim,7.7,19.08035,72.84698,245,Santacruz East,6.1,19.1238,72.8567,73,Jogeshwari East,6.1,,,,,,350,Malad East,19.1852403,72.8577155,7.1
15,Chembur,Malad,AM,26.7,22.56,4.14,Q4- Divide by 5,5.34,4,598,19.0443516,72.8919425,19.04671,72.86285,611,Sion,5.3,19.08035,72.84698,245,Santacruz East,8.3,19.10058,72.85474,554,Vile Parle East,4,19.14108,72.85489,128,Goregaon East,4.8,,,,,,350,Malad East,19.1852403,72.8577155,4.3
16,Andheri West,Nariman Point,AM,33.2,30.71,2.49,Q4- Divide by 5,6.64,4,403,19.1339977,72.8339749,19.12356,72.85649,554,Vile Parle East,5.8,19.05409,72.84616,245,Santacruz East,4.1,19.01771,72.81225,191,Koliwada,9.4,18.9764,72.80896,283,Haji Ali,4.6,,,,,,382,Nariman Point,18.9279097,72.8217757,9.3
17,Chembur,Nariman Point,AM,19.5,18.15,1.35,Q3- Divide by 4,4.88,3,598,19.0443516,72.8919425,19.02269,72.87652,683,Wadala,4.7,18.99886,72.85497,34,Sewri,3.4,18.96552,72.84568,250,Mazgaon,5.4,,,,,,,,,,,382,Nariman Point,18.9279097,72.8217757,6
18,Borivali,Lower Parel,AM,27.6,28.14,-0.54,Q4- Divide by 5,5.52,4,265,19.2205771,72.862368,19.1742,72.85936,136,Goregaon East,7.8,19.12382,72.8565,128,Goregaon East,3.7,19.08035,72.84686,245,Santacruz East,8.8,19.04041,72.81876,445,Bandra Worli Sealink,,,,,,,239,Lower Parel,18.9991801,72.8289638,7.3
19,Andheri West,Lower Parel,AM,24.4,20.27,4.13,Q3- Divide by 4,6.1,3,403,19.1339977,72.8339749,19.10769,72.85338,554,Vile Parle East,5.4,19.08035,72.84686,245,Santacruz East,4.1,19.04041,72.81876,445,Bandra Worli Sealink,8,,,,,,,,,,,239,Lower Parel,18.9991801,72.8289638,6.9
20,Chembur,Lower Parel,AM,13.1,11.72,1.38,Q2- Divide by 3,4.37,2,598,19.0443516,72.8919425,19.04775,72.86726,611,Sion,5.3,19.01581,72.84619,599,Gautam Nagar (Dadar),5.2,,,,,,,,,,,,,,,,239,Lower Parel,18.9991801,72.8289638,2.6
21,Nariman Point,Marine Drive,PM,0.96,0.94,0.02,No division,0.96,0,382,18.9279097,72.8217757,,,,,,,,,,,,,,,,,,,,,,,,,,577,Marine Drive,18.9347773,72.8217133,0.96
22,Nariman Point,Borivali,PM,40.9,38.34,2.56,Divide by 6,6.82,5,382,18.9279097,72.8217757,18.97643,72.80907,668,Breach Candy,6.4,19.01696,72.81234,191,Koliwada,7.5,19.05474,72.84649,387,Mahim,3.6,19.10768,72.8535,422,Jogeshwari East,12.5,19.17422,72.85948,350,Malad East,6.1,265,Borivali East,19.2205771,72.862368,4.8
23,BKC,Andheri West,PM,14.1,15.48,-1.38,Q2- Divide by 3,4.7,2,182,19.0605751,72.8626837,19.08511,72.84581,245,Santacruz East,4.6,19.12409,72.85651,159,Andheri East,6.2,,,,,,,,,,,,,,,,403,Andheri West,19.1339977,72.8339749,3.3
24,BKC,Marine Drive,PM,22.9,20.05,2.85,Q3- Divide by 4,5.73,3,182,19.0605751,72.8626837,19.04123,72.82011,387,Mahim,4.8,19.00124,72.81161,625,Worli,7.4,18.97057,72.80959,668,Breach Candy,5,,,,,,,,,,,577,Marine Drive,18.9347773,72.8217133,5.7
25,BKC,Chembur,PM,12.8,9.07,3.73,Q1- Divide by 2,6.4,1,182,19.0605751,72.8626837,19.04679,72.86286,611,Sion,7.4,,,,,,,,,,,,,,,,,,,,,598,Chembur East,19.0443516,72.8919425,5.4
26,Andheri East,Chembur,PM,17.7,16.35,1.35,Q2- Divide by 3,5.9,2,357,19.1155649,72.8608375,19.08035,72.84698,245,Santacruz East,5.9,19.05052,72.86535,610,Sion,8.2,,,,,,,,,,,,,,,,598,Chembur East,19.0443516,72.8919425,3.6
27,Malad,Andheri West,PM,8.3,8.16,0.14,Q1- Divide by 2,4.15,1,350,19.1852403,72.8577155,19.15318,72.85675,434,Goregaon East,3.8,,,,,,,,,,,,,,,,,,,,,403,Andheri West,19.1339977,72.8339749,4.5
28,Malad,Marine Drive,PM,35.7,33.53,2.17,Q4- Divide by 5,7.14,4,350,19.1852403,72.8577155,19.1238,72.8567,73,Jogeshwari East,6.7,19.08035,72.84698,245,Santacruz East,6.7,19.04027,72.81893,387,Mahim,6,18.98363,72.81514,665,Worli,8.4,,,,,,577,Marine Drive,18.9347773,72.8217133,7.9
29,Malad,Chembur,PM,27.9,23.73,4.17,Q4- Divide by 5,5.58,4,350,19.1852403,72.8577155,19.14108,72.85489,128,Goregaon East,4.3,19.10058,72.85474,554,Vile Parle East,5.1,19.08035,72.84698,245,Santacruz East,4.1,19.04671,72.86285,611,Sion,9,,,,,,598,Chembur East,19.0443516,72.8919425,5.4
30,Nariman Point,Andheri West,PM,31.45,31.33,0.12,Q4- Divide by 5,6.29,4,382,18.9279097,72.8217757,18.9764,72.80896,283,Haji Ali,9.4,19.01771,72.81225,191,Koliwada,1.8,19.05409,72.84616,689,Bandra Reclamation,5.45,19.12356,72.85649,159,Andheri East,11.5,,,,,,403,Andheri West,19.1339977,72.8339749,3.3
31,Nariman Point,Chembur,PM,19.2,19.26,-0.06,Q3- Divide by 4,4.8,3,382,18.9279097,72.8217757,18.96552,72.84568,250,Mazgaon,6.4,18.99886,72.85497,34,Sewri,4.5,19.02269,72.87652,683,Wadala,3.6,,,,,,,,,,,598,Chembur East,19.0443516,72.8919425,4.7
32,Lower Parel,Borivali,PM,32,30.06,1.94,Q4- Divide by 5,6.4,4,239,18.9991801,72.8289638,19.04041,72.81876,445,Bandra Worli Sealink,6.2,19.08035,72.84686,245,Santacruz East,7.9,19.12382,72.8565,128,Goregaon East,8.8,19.1742,72.85936,136,Goregaon West,3.1,,,,,,265,Borivali East,19.2205771,72.862368,6
33,Lower Parel,Andheri West,PM,27.1,23.06,4.04,Q3- Divide by 4,6.78,3,239,18.9991801,72.8289638,19.04041,72.81876,445,Bandra Worli Sealink,6.2,19.08035,72.84686,245,Santacruz East,7.9,19.10769,72.85338,554,Vile Parle East,4.2,,,,,,,,,,,403,Andheri West,19.1339977,72.8339749,8.8
34,Lower Parel,Chembur,PM,14.1,12.15,1.95,Q2- Divide by 3,4.7,2,239,18.9991801,72.8289638,19.01581,72.84619,599,Gautam Nagar (Dadar),3.6,19.04775,72.86726,611,Sion,5.1,,,,,,,,,,,,,,,,598,Chembur East,19.0443516,72.8919425,5.4
35,BKC,Borivali,PM,22.5,22.48,0.02,Q3- Divide by 4,5.63,3,182,19.0605751,72.8626837,19.08035,72.84698,629,Santacruz East,4.5,19.089,72.84347,73,Jogeshwari East,4.9,19.089,72.84347,290,Kandivali East,8.5,,,,,,,,,,,265,Borivali East,19.2205771,72.862368,4.6
36,Andheri East,Borivali,PM,13.9,13.17,0.73,Q2- Divide by 3,4.63,2,357,19.1155649,72.8608375,19.14108,72.85489,128,Goregaon East,4.8,19.17422,72.85948,136,Goregaon West,3.1,,,,,,,,,,,,,,,,265,Borivali East,19.2205771,72.862368,6
37,Andheri East,Andheri West,PM,5.5,4.46,1.04,Q1- Divide by 2,2.75,1,357,19.1155649,72.8608375,19.12423,72.8481,159,Andheri East,2.2,,,,,,,,,,,,,,,,,,,,,403,Andheri West,19.1339977,72.8339749,3.3
38,Andheri East,Marine Drive,PM,30,26.15,3.85,Q4- Divide by 5,6,4,357,19.1155649,72.8608375,19.0896,72.84352,123,Santacruz West,5.3,19.04991,72.83294,689,Bandra Reclamation,6.6,19.0142,72.81263,191,Koliwada,4.9,18.97043,72.8095,668,Breach Candy,7.5,,,,,,577,Marine Drive,18.9347773,72.8217133,5.7
39,Malad,Borivali,PM,5.55,4.77,0.78,Q1- Divide by 2,2.78,1,350,19.1852403,72.8577155,19.20121,72.86145,19,Kandivali East,3.65,,,,,,,,,,,,,,,,,,,,,265,Borivali East,19.2205771,72.862368,1.9
40,Lower Parel,Marine Drive,PM,12,9.61,2.39,Q1- Divide by 2,6,1,239,18.9991801,72.8289638,18.97612,72.80892,668,Breach Candy,6.3,,,,,,,,,,,,,,,,,,,,,577,Marine Drive,18.9347773,72.8217133,5.7